app_id,score,risk,band,eligible,dti,verify
500059,693,28.6,High,Not Eligible,54.0,Verified
500060,624,57.2,Medium,Not Eligible,14.8,Verified
500061,769,43.7,High,Not Eligible,37.6,Verified
500062,845,54.6,High,Not Eligible,25.6,Verified
500063,717,52.8,High,Not Eligible,61.3,Verified
500064,648,54.6,High,Not Eligible,10.7,Rejected
500065,627,42.5,High,Not Eligible,47.5,Verified
500066,607,22.7,High,Not Eligible,33.3,Verified
500067,792,68.7,Medium,Eligible,41.5,Verified
500068,735,53.2,High,Not Eligible,34.5,Verified
500069,646,35.7,High,Not Eligible,42.8,Verified
500070,616,21.8,High,Not Eligible,11.5,Verified
500071,641,23.9,High,Not Eligible,44.2,Verified
500072,754,65.4,Medium,Eligible,45.6,Verified
500073,663,61.5,Medium,Eligible,13.7,Verified
500074,740,50.9,High,Not Eligible,19.4,Verified
500075,743,68.1,Medium,Eligible,37.1,Verified
500076,678,41.3,High,Not Eligible,56.2,Verified
500077,526,43.7,High,Not Eligible,20.6,Verified
500078,652,40.9,High,Not Eligible,44.6,Verified
500079,752,63.0,Medium,Eligible,24.1,Verified
500080,638,27.8,High,Not Eligible,36.2,Pending
500081,732,72.0,Medium,Eligible,19.6,Verified
500082,621,37.7,High,Not Eligible,54.4,Rejected
500083,597,32.7,High,Not Eligible,57.4,Verified
500084,691,44.0,High,Not Eligible,40.6,Verified
500085,621,36.6,High,Not Eligible,34.4,Verified
500086,759,61.4,Medium,Eligible,53.9,Pending
500087,713,47.3,High,Not Eligible,54.7,Verified
500088,658,56.3,Medium,Eligible,54.1,Verified
500089,831,74.4,Medium,Eligible,59.7,Verified
500090,765,65.2,Medium,Eligible,10.3,Verified
500091,684,36.2,High,Not Eligible,55.0,Verified
500092,829,61.5,Medium,Eligible,47.7,Verified
500093,637,30.3,High,Not Eligible,8.0,Verified
500094,835,60.4,Medium,Eligible,27.5,Verified
500095,612,46.9,High,Not Eligible,12.2,Rejected
500096,569,17.6,High,Not Eligible,10.2,Verified
500097,513,27.2,High,Not Eligible,9.2,Verified
500098,689,48.7,High,Not Eligible,39.9,Pending
500099,698,50.3,High,Not Eligible,21.9,Verified
500100,691,59.3,Medium,Eligible,23.9,Verified
500101,681,39.4,High,Not Eligible,20.2,Verified
500102,703,47.7,High,Not Eligible,21.4,Verified
500103,701,36.5,High,Not Eligible,35.1,Verified
500104,746,65.7,Medium,Eligible,49.5,Verified
500105,718,62.4,Medium,Eligible,31.3,Verified
500106,658,46.1,High,Not Eligible,8.1,Verified
500107,685,30.3,High,Not Eligible,18.9,Verified
500108,724,55.5,Medium,Eligible,40.9,Pending
500109,559,32.7,High,Not Eligible,58.5,Verified
500110,664,52.3,High,Not Eligible,42.9,Verified
500111,679,51.6,High,Not Eligible,30.4,Verified
500112,733,55.4,Medium,Not Eligible,32.5,Verified
500113,765,45.0,High,Not Eligible,40.7,Verified
500114,738,76.6,Low,Eligible,50.8,Verified
500115,660,26.5,High,Not Eligible,20.9,Verified
500116,725,54.6,High,Not Eligible,23.4,Verified
500117,667,53.8,High,Not Eligible,61.8,Verified
500118,669,67.7,Medium,Eligible,34.3,Verified
500119,689,28.6,High,Not Eligible,29.1,Verified
500120,805,78.5,Low,Eligible,61.2,Verified
500121,831,61.7,Medium,Eligible,35.8,Verified
500122,841,68.4,Medium,Eligible,22.7,Verified
500123,765,73.1,Medium,Eligible,49.7,Verified
500124,704,31.8,High,Not Eligible,36.7,Verified
500125,758,66.5,Medium,Eligible,35.4,Verified
500126,695,47.0,High,Not Eligible,33.4,Verified
500127,740,57.3,Medium,Eligible,27.4,Rejected
500128,756,53.3,High,Not Eligible,51.1,Verified
500129,695,56.7,Medium,Eligible,58.6,Verified
500130,807,77.0,Low,Eligible,25.2,Pending
500131,646,60.9,Medium,Not Eligible,56.1,Verified
500132,673,55.9,Medium,Eligible,48.1,Verified
500133,747,64.5,Medium,Eligible,9.9,Verified
500134,768,66.9,Medium,Eligible,49.4,Verified
500135,643,50.5,High,Not Eligible,8.3,Verified
500136,625,50.8,High,Not Eligible,31.7,Verified
500137,686,52.0,High,Not Eligible,58.1,Verified
500138,594,40.6,High,Not Eligible,38.6,Pending
500139,748,62.8,Medium,Eligible,42.6,Verified
500140,700,48.0,High,Not Eligible,51.2,Rejected
500141,599,35.4,High,Not Eligible,12.4,Rejected
500142,591,25.3,High,Not Eligible,19.3,Verified
500143,613,37.1,High,Not Eligible,15.2,Verified
500144,762,39.8,High,Not Eligible,38.0,Verified
500145,547,26.8,High,Not Eligible,52.4,Verified
500146,723,67.0,Medium,Eligible,9.4,Verified
500147,625,38.7,High,Not Eligible,56.4,Verified
500148,735,51.4,High,Not Eligible,22.9,Pending
500149,757,56.5,Medium,Eligible,58.5,Verified
500150,724,43.1,High,Not Eligible,14.4,Verified
500151,633,48.6,High,Not Eligible,55.1,Rejected
500152,669,17.1,High,Not Eligible,48.3,Verified
500153,693,60.2,Medium,Eligible,23.4,Pending
500154,691,61.2,Medium,Eligible,61.7,Verified
500155,629,22.8,High,Not Eligible,30.6,Verified
500156,679,50.2,High,Not Eligible,15.5,Verified
500157,807,45.2,High,Not Eligible,28.4,Verified
500158,723,51.2,High,Not Eligible,45.8,Verified
500159,656,48.1,High,Not Eligible,35.4,Verified
500160,673,35.2,High,Not Eligible,9.7,Rejected
500161,680,52.5,High,Not Eligible,36.4,Verified
500162,688,58.5,Medium,Eligible,37.2,Verified
500163,595,37.3,High,Not Eligible,46.8,Verified
500164,727,52.9,High,Not Eligible,53.5,Pending
500165,728,38.6,High,Not Eligible,39.5,Verified
500166,724,49.5,High,Not Eligible,13.3,Verified
500167,741,51.1,High,Not Eligible,44.4,Pending
500168,774,52.3,High,Not Eligible,52.2,Verified
500169,638,29.0,High,Not Eligible,60.5,Verified
500170,704,52.3,High,Not Eligible,22.7,Pending
500171,677,54.8,High,Not Eligible,35.2,Verified
500172,679,37.5,High,Not Eligible,30.6,Verified
500173,653,35.3,High,Not Eligible,26.2,Verified
500174,805,64.3,Medium,Eligible,45.2,Verified
500175,812,49.2,High,Not Eligible,38.6,Verified
500176,689,29.4,High,Not Eligible,30.2,Verified
500177,592,31.9,High,Not Eligible,61.0,Verified
500178,607,48.1,High,Not Eligible,60.7,Verified
500179,746,61.5,Medium,Eligible,36.8,Verified
500180,705,54.3,High,Not Eligible,40.4,Verified
500181,582,47.8,High,Not Eligible,18.6,Verified
500182,659,33.6,High,Not Eligible,43.3,Verified
500183,541,27.5,High,Not Eligible,19.0,Verified
500184,666,41.3,High,Not Eligible,22.5,Verified
500185,850,73.7,Medium,Eligible,32.6,Verified
500186,603,49.3,High,Not Eligible,55.8,Verified
500187,734,53.8,High,Not Eligible,16.0,Pending
500188,667,42.4,High,Not Eligible,51.8,Verified
500189,698,51.3,High,Not Eligible,53.9,Verified
500190,764,47.1,High,Not Eligible,47.9,Rejected
500191,619,4.6,High,Not Eligible,42.4,Verified
500192,732,53.2,High,Not Eligible,61.9,Verified
500193,594,23.9,High,Not Eligible,24.5,Verified
500194,725,51.1,High,Not Eligible,33.3,Verified
500195,596,44.4,High,Not Eligible,11.9,Verified
500196,683,46.3,High,Not Eligible,52.8,Verified
500197,641,59.1,Medium,Not Eligible,43.3,Pending
500198,750,68.7,Medium,Eligible,60.2,Rejected
500199,590,51.7,High,Not Eligible,58.9,Verified
500200,619,54.7,High,Not Eligible,45.5,Verified
500201,558,33.6,High,Not Eligible,52.5,Verified
500202,728,56.4,Medium,Eligible,28.3,Verified
500203,813,60.5,Medium,Eligible,35.2,Verified
500204,672,57.9,Medium,Eligible,47.1,Verified
500205,664,61.4,Medium,Eligible,40.7,Verified
500206,627,35.1,High,Not Eligible,8.9,Pending
500207,711,48.4,High,Not Eligible,39.5,Rejected
500208,767,53.8,High,Not Eligible,42.3,Verified
500209,669,42.3,High,Not Eligible,27.7,Verified
500210,661,34.9,High,Not Eligible,35.2,Verified
500211,673,44.6,High,Not Eligible,13.8,Verified
500212,735,66.8,Medium,Eligible,24.6,Verified
500213,742,40.9,High,Not Eligible,54.2,Verified
500214,629,30.3,High,Not Eligible,18.8,Verified
500215,725,49.0,High,Not Eligible,60.7,Verified
500216,661,14.2,High,Not Eligible,18.0,Verified
500217,788,81.2,Low,Eligible,14.7,Verified
500218,762,45.2,High,Not Eligible,24.2,Verified
500219,744,68.2,Medium,Eligible,12.6,Verified
500220,650,42.2,High,Not Eligible,55.8,Verified
500221,672,55.8,Medium,Eligible,10.4,Verified
500222,654,17.3,High,Not Eligible,56.8,Verified
500223,788,56.2,Medium,Eligible,8.8,Verified
500224,617,46.6,High,Not Eligible,11.1,Verified
500225,668,55.5,Medium,Eligible,12.3,Verified
500226,648,52.6,High,Not Eligible,49.2,Verified
500227,607,25.6,High,Not Eligible,13.4,Verified
500228,637,40.6,High,Not Eligible,9.7,Pending
500229,729,73.9,Medium,Eligible,33.2,Verified
500230,752,30.2,High,Not Eligible,24.0,Verified
500231,617,44.2,High,Not Eligible,59.0,Verified
500232,768,51.1,High,Not Eligible,38.4,Verified
500233,601,5.3,High,Not Eligible,24.8,Verified
500234,748,62.5,Medium,Eligible,38.3,Rejected
500235,824,45.9,High,Not Eligible,13.6,Rejected
500236,692,43.0,High,Not Eligible,20.8,Verified
500237,704,45.7,High,Not Eligible,22.7,Verified
500238,647,37.9,High,Not Eligible,11.7,Verified
500239,732,49.4,High,Not Eligible,35.0,Pending
500240,568,26.1,High,Not Eligible,49.9,Verified
500241,791,66.2,Medium,Eligible,44.3,Verified
500242,751,64.4,Medium,Eligible,10.7,Verified
500243,668,40.4,High,Not Eligible,32.8,Verified
500244,587,46.8,High,Not Eligible,28.4,Verified
500245,594,26.7,High,Not Eligible,57.9,Verified
500246,661,59.7,Medium,Eligible,53.6,Verified
500247,566,42.1,High,Not Eligible,52.1,Verified
500248,670,39.0,High,Not Eligible,13.2,Rejected
500249,763,58.8,Medium,Eligible,16.0,Verified
500250,736,61.2,Medium,Eligible,59.0,Verified
500251,616,42.1,High,Not Eligible,34.4,Verified
500252,765,47.8,High,Not Eligible,20.5,Verified
500253,625,36.0,High,Not Eligible,30.1,Verified
500254,702,58.0,Medium,Eligible,33.1,Pending
500255,741,61.7,Medium,Eligible,52.5,Verified
500256,688,53.9,High,Not Eligible,15.3,Verified
500257,715,72.8,Medium,Eligible,9.8,Verified
500258,636,52.9,High,Not Eligible,51.8,Verified
500259,618,57.1,Medium,Not Eligible,30.1,Verified
500260,673,40.9,High,Not Eligible,12.2,Verified
500261,612,53.3,High,Not Eligible,17.0,Pending
500262,629,37.8,High,Not Eligible,20.9,Verified
500263,717,41.9,High,Not Eligible,50.6,Verified
500264,639,27.8,High,Not Eligible,44.0,Verified
500265,690,52.2,High,Not Eligible,45.7,Verified
500266,800,61.3,Medium,Eligible,37.2,Verified
500267,779,53.1,High,Not Eligible,58.9,Verified
500268,734,45.9,High,Not Eligible,23.3,Verified
500269,701,53.9,High,Not Eligible,20.0,Rejected
500270,773,59.8,Medium,Eligible,51.5,Verified
500271,534,35.6,High,Not Eligible,38.4,Verified
500272,778,52.2,High,Not Eligible,33.7,Verified
500273,608,35.4,High,Not Eligible,39.9,Verified
500274,654,19.2,High,Not Eligible,8.4,Verified
500275,770,45.0,High,Not Eligible,14.0,Verified
500276,583,19.8,High,Not Eligible,41.3,Verified
500277,628,35.2,High,Not Eligible,40.5,Verified
500278,723,60.6,Medium,Eligible,53.3,Verified
500279,779,55.4,Medium,Eligible,54.5,Verified
500280,729,48.3,High,Not Eligible,16.9,Pending
500281,713,63.4,Medium,Eligible,37.0,Verified
500282,802,67.5,Medium,Eligible,32.7,Verified
500283,643,52.7,High,Not Eligible,53.5,Verified
500284,641,40.2,High,Not Eligible,33.6,Verified
500285,696,47.3,High,Not Eligible,21.5,Verified
500286,676,56.5,Medium,Eligible,16.7,Verified
500287,797,58.8,Medium,Eligible,9.3,Verified
500288,751,44.7,High,Not Eligible,59.6,Verified
500289,585,22.8,High,Not Eligible,60.4,Verified
500290,700,63.3,Medium,Eligible,18.5,Verified
500291,566,28.6,High,Not Eligible,51.6,Verified
500292,665,34.6,High,Not Eligible,55.6,Verified
500293,718,59.9,Medium,Eligible,26.5,Verified
500294,814,53.9,High,Not Eligible,38.8,Verified
500295,777,68.2,Medium,Eligible,47.2,Verified
500296,686,32.6,High,Not Eligible,61.9,Pending
500297,746,48.8,High,Not Eligible,45.6,Verified
500298,636,53.5,High,Not Eligible,24.0,Pending
500299,701,41.7,High,Not Eligible,24.5,Verified
500300,818,55.0,Medium,Eligible,26.2,Verified
500301,640,30.1,High,Not Eligible,50.1,Verified
500302,546,36.2,High,Not Eligible,16.2,Verified
500303,657,16.9,High,Not Eligible,61.1,Verified
500304,716,44.5,High,Not Eligible,43.0,Verified
500305,582,29.9,High,Not Eligible,39.6,Verified
500306,634,39.7,High,Not Eligible,59.8,Verified
500307,667,40.2,High,Not Eligible,43.7,Verified
500308,693,57.1,Medium,Eligible,27.9,Verified
500309,730,70.8,Medium,Eligible,41.8,Verified
500310,731,43.5,High,Not Eligible,37.7,Verified
500311,759,57.6,Medium,Eligible,52.4,Verified
500312,635,42.3,High,Not Eligible,49.3,Verified
500313,783,57.4,Medium,Eligible,34.7,Verified
500314,609,31.3,High,Not Eligible,29.1,Verified
500315,650,34.1,High,Not Eligible,43.2,Verified
500316,824,64.1,Medium,Eligible,31.9,Verified
500317,691,44.0,High,Not Eligible,10.5,Verified
500318,592,30.5,High,Not Eligible,54.2,Rejected
500319,643,43.1,High,Not Eligible,20.3,Verified
500320,825,61.7,Medium,Eligible,56.5,Verified
500321,667,42.7,High,Not Eligible,29.3,Verified
500322,651,34.8,High,Not Eligible,8.3,Verified
500323,623,40.6,High,Not Eligible,46.3,Verified
500324,609,33.4,High,Not Eligible,45.6,Verified
500325,664,61.7,Medium,Eligible,47.5,Verified
500326,648,41.8,High,Not Eligible,57.7,Verified
500327,636,46.4,High,Not Eligible,32.6,Verified
500328,721,55.5,Medium,Eligible,26.3,Verified
500329,850,57.6,Medium,Eligible,17.0,Verified
500330,759,62.7,Medium,Eligible,47.3,Verified
500331,624,56.8,Medium,Not Eligible,54.8,Verified
500332,629,45.3,High,Not Eligible,50.3,Verified
500333,785,75.0,Medium,Eligible,28.7,Pending
500334,850,51.3,High,Not Eligible,50.1,Verified
500335,667,61.1,Medium,Eligible,39.4,Verified
500336,768,55.3,Medium,Eligible,24.1,Verified
500337,810,64.8,Medium,Eligible,49.0,Verified
500338,759,63.3,Medium,Eligible,11.8,Rejected
500339,671,33.7,High,Not Eligible,44.6,Verified
500340,721,54.3,High,Not Eligible,41.5,Verified
500341,765,60.9,Medium,Not Eligible,39.7,Verified
500342,649,46.4,High,Not Eligible,56.5,Verified
500343,567,25.8,High,Not Eligible,31.6,Verified
500344,586,28.2,High,Not Eligible,44.0,Rejected
500345,729,71.1,Medium,Eligible,49.0,Pending
500346,756,53.9,High,Not Eligible,14.2,Verified
500347,671,54.7,High,Not Eligible,50.2,Verified
500348,641,17.0,High,Not Eligible,39.2,Verified
500349,732,43.0,High,Not Eligible,39.5,Verified
500350,585,21.6,High,Not Eligible,49.9,Verified
500351,774,50.1,High,Not Eligible,49.6,Pending
500352,656,53.2,High,Not Eligible,54.7,Verified
500353,794,48.4,High,Not Eligible,32.3,Verified
500354,678,42.8,High,Not Eligible,34.4,Verified
500355,689,40.7,High,Not Eligible,24.5,Verified
500356,744,58.2,Medium,Eligible,20.9,Rejected
500357,711,57.4,Medium,Eligible,23.6,Verified
500358,574,42.4,High,Not Eligible,48.2,Verified
500359,601,37.3,High,Not Eligible,24.2,Verified
500360,702,57.8,Medium,Eligible,44.9,Verified
500361,544,15.7,High,Not Eligible,16.3,Verified
500362,668,44.7,High,Not Eligible,26.8,Verified
500363,597,18.3,High,Not Eligible,28.7,Verified
500364,739,52.0,High,Not Eligible,49.9,Verified
500365,678,40.0,High,Not Eligible,33.6,Verified
500366,672,41.5,High,Not Eligible,20.9,Verified
500367,661,43.3,High,Not Eligible,14.3,Verified
500368,748,55.2,Medium,Eligible,36.5,Verified
500369,800,65.0,Medium,Eligible,48.0,Rejected
500370,533,3.3,High,Not Eligible,44.2,Verified
500371,708,51.6,High,Not Eligible,45.2,Verified
500372,734,67.4,Medium,Eligible,45.2,Verified
500373,702,57.9,Medium,Eligible,30.7,Verified
500374,673,43.0,High,Not Eligible,35.1,Verified
500375,682,51.6,High,Not Eligible,58.9,Verified
500376,691,60.6,Medium,Not Eligible,54.2,Verified
500377,674,40.4,High,Not Eligible,61.3,Verified
500378,684,49.2,High,Not Eligible,47.0,Verified
500379,730,67.1,Medium,Eligible,34.0,Pending
500380,823,71.6,Medium,Eligible,61.0,Verified
500381,722,45.5,High,Not Eligible,14.3,Verified
500382,774,67.0,Medium,Eligible,58.7,Verified
500383,675,31.5,High,Not Eligible,32.6,Verified
500384,628,35.3,High,Not Eligible,46.1,Verified
500385,699,56.6,Medium,Eligible,31.9,Verified
500386,755,71.5,Medium,Eligible,10.7,Verified
500387,653,34.0,High,Not Eligible,21.9,Rejected
500388,666,43.0,High,Not Eligible,29.9,Verified
500389,687,55.5,Medium,Eligible,55.3,Verified
500390,792,45.3,High,Not Eligible,42.9,Verified
500391,538,38.1,High,Not Eligible,13.2,Verified
500392,747,43.0,High,Not Eligible,39.7,Verified
500393,514,36.0,High,Not Eligible,30.6,Verified
500394,681,53.7,High,Not Eligible,17.6,Rejected
500395,565,45.4,High,Not Eligible,54.2,Verified
500396,745,73.1,Medium,Eligible,32.1,Verified
500397,557,15.7,High,Not Eligible,57.1,Verified
500398,795,40.3,High,Not Eligible,11.5,Rejected
500399,598,35.0,High,Not Eligible,53.2,Verified
500400,754,56.4,Medium,Eligible,60.0,Verified
500401,744,46.5,High,Not Eligible,25.9,Rejected
500402,754,49.4,High,Not Eligible,22.5,Verified
500403,606,25.4,High,Not Eligible,20.3,Verified
500404,505,31.4,High,Not Eligible,18.9,Verified
500405,748,60.7,Medium,Eligible,32.8,Verified
500406,633,25.2,High,Not Eligible,13.9,Verified
500407,649,42.3,High,Not Eligible,29.3,Verified
500408,729,38.0,High,Not Eligible,25.7,Verified
500409,768,67.6,Medium,Eligible,20.7,Verified
500410,729,45.2,High,Not Eligible,34.2,Verified
500411,612,31.6,High,Not Eligible,27.4,Verified
500412,688,47.3,High,Not Eligible,24.8,Verified
500413,703,61.4,Medium,Eligible,32.4,Pending
500414,811,67.9,Medium,Eligible,37.5,Verified
500415,769,43.3,High,Not Eligible,20.4,Verified
500416,667,33.7,High,Not Eligible,30.5,Pending
500417,788,72.6,Medium,Eligible,25.0,Verified
500418,629,12.5,High,Not Eligible,17.2,Verified
500419,748,45.1,High,Not Eligible,21.8,Verified
500420,686,48.5,High,Not Eligible,51.7,Verified
500421,627,37.2,High,Not Eligible,18.1,Verified
500422,675,17.1,High,Not Eligible,28.0,Verified
500423,783,74.2,Medium,Eligible,54.3,Verified
500424,732,26.3,High,Not Eligible,15.7,Verified
500425,796,50.6,High,Not Eligible,54.5,Verified
500426,613,40.6,High,Not Eligible,27.1,Verified
500427,683,40.0,High,Not Eligible,60.6,Verified
500428,755,60.3,Medium,Eligible,57.8,Verified
500429,636,34.3,High,Not Eligible,46.1,Pending
500430,671,53.0,High,Not Eligible,57.6,Verified
500431,652,55.6,Medium,Eligible,28.9,Verified
500432,665,51.1,High,Not Eligible,57.8,Verified
500433,595,46.6,High,Not Eligible,22.5,Verified
500434,590,41.6,High,Not Eligible,49.8,Verified
500435,814,59.0,Medium,Eligible,59.5,Verified
500436,594,40.3,High,Not Eligible,35.4,Verified
500437,547,48.9,High,Not Eligible,42.2,Verified
500438,657,40.0,High,Not Eligible,24.1,Verified
500439,751,45.7,High,Not Eligible,40.8,Verified
500440,776,51.0,High,Not Eligible,34.4,Verified
500441,684,49.8,High,Not Eligible,60.3,Verified
500442,721,67.7,Medium,Eligible,61.0,Verified
500443,582,28.5,High,Not Eligible,47.8,Rejected
500444,611,37.2,High,Not Eligible,11.3,Verified
500445,661,43.8,High,Not Eligible,35.5,Verified
500446,593,26.6,High,Not Eligible,8.8,Verified
500447,744,64.4,Medium,Eligible,59.9,Verified
500448,718,58.0,Medium,Eligible,53.5,Verified
500449,704,34.7,High,Not Eligible,25.9,Verified
500450,671,42.1,High,Not Eligible,25.6,Verified
500451,753,49.0,High,Not Eligible,61.6,Verified
500452,786,73.9,Medium,Eligible,44.2,Verified
500453,627,43.8,High,Not Eligible,11.7,Verified
500454,570,39.0,High,Not Eligible,50.9,Verified
500455,689,50.6,High,Not Eligible,12.8,Verified
500456,751,46.8,High,Not Eligible,37.3,Verified
500457,673,49.7,High,Not Eligible,12.4,Verified
500458,685,46.2,High,Not Eligible,44.0,Verified
500459,684,56.2,Medium,Eligible,20.1,Pending
500460,691,53.5,High,Not Eligible,54.7,Rejected
500461,693,48.8,High,Not Eligible,30.2,Verified
500462,659,57.4,Medium,Eligible,36.8,Verified
500463,815,61.6,Medium,Eligible,15.0,Verified
500464,760,69.4,Medium,Eligible,60.3,Verified
500465,697,43.7,High,Not Eligible,31.5,Verified
500466,661,33.3,High,Not Eligible,16.8,Verified
500467,576,31.4,High,Not Eligible,60.1,Verified
500468,722,49.9,High,Not Eligible,19.7,Verified
500469,692,45.1,High,Not Eligible,56.4,Verified
500470,584,38.5,High,Not Eligible,58.4,Verified
500471,648,43.3,High,Not Eligible,10.9,Verified
500472,660,39.3,High,Not Eligible,51.8,Verified
500473,681,43.6,High,Not Eligible,8.6,Verified
500474,709,42.2,High,Not Eligible,58.8,Verified
500475,597,42.7,High,Not Eligible,11.0,Verified
500476,750,42.9,High,Not Eligible,16.3,Verified
500477,642,27.1,High,Not Eligible,19.9,Verified
500478,850,65.2,Medium,Eligible,47.0,Verified
500479,611,40.7,High,Not Eligible,14.7,Verified
500480,638,59.5,Medium,Not Eligible,61.6,Verified
500481,580,30.5,High,Not Eligible,12.7,Verified
500482,604,34.9,High,Not Eligible,16.9,Verified
500483,616,37.7,High,Not Eligible,44.2,Verified
500484,718,58.5,Medium,Eligible,61.3,Verified
500485,596,32.0,High,Not Eligible,32.2,Verified
500486,665,57.5,Medium,Eligible,37.0,Pending
500487,681,45.9,High,Not Eligible,40.5,Verified
500488,612,31.0,High,Not Eligible,55.6,Verified
500489,692,38.7,High,Not Eligible,33.7,Verified
500490,754,69.3,Medium,Eligible,21.9,Verified
500491,733,51.7,High,Not Eligible,57.5,Verified
500492,655,46.0,High,Not Eligible,49.3,Pending
500493,739,43.0,High,Not Eligible,11.2,Verified
500494,650,58.7,Medium,Eligible,21.3,Verified
500495,535,44.3,High,Not Eligible,52.9,Rejected
500496,692,35.7,High,Not Eligible,58.5,Verified
500497,727,59.5,Medium,Eligible,10.8,Verified
500498,763,51.0,High,Not Eligible,51.9,Verified
500499,649,50.6,High,Not Eligible,33.5,Verified
500500,824,63.8,Medium,Eligible,22.1,Pending
500501,762,64.4,Medium,Eligible,10.9,Verified
500502,747,75.0,Low,Eligible,19.5,Verified
500503,686,43.6,High,Not Eligible,51.2,Verified
500504,690,38.2,High,Not Eligible,13.6,Verified
500505,604,43.4,High,Not Eligible,48.2,Verified
500506,727,68.3,Medium,Eligible,11.5,Verified
500507,803,63.8,Medium,Eligible,16.1,Verified
500508,810,66.6,Medium,Eligible,49.2,Pending
500509,702,58.0,Medium,Eligible,43.4,Verified
500510,734,55.5,Medium,Eligible,59.7,Verified
500511,606,20.2,High,Not Eligible,30.7,Verified
500512,829,44.5,High,Not Eligible,41.8,Verified
500513,731,60.3,Medium,Not Eligible,49.5,Verified
500514,640,49.6,High,Not Eligible,39.7,Verified
500515,763,57.5,Medium,Eligible,44.4,Verified
500516,590,29.0,High,Not Eligible,59.6,Verified
500517,632,45.6,High,Not Eligible,15.4,Verified
500518,685,72.7,Medium,Eligible,23.8,Verified
500519,660,58.2,Medium,Eligible,26.7,Verified
500520,629,39.5,High,Not Eligible,42.9,Pending
500521,732,55.4,Medium,Eligible,10.8,Verified
500522,574,38.9,High,Not Eligible,35.5,Pending
500523,782,67.9,Medium,Eligible,21.2,Verified
500524,706,37.1,High,Not Eligible,62.0,Verified
500525,718,33.5,High,Not Eligible,25.6,Verified
500526,749,43.8,High,Not Eligible,25.8,Pending
500527,759,71.2,Medium,Eligible,57.1,Verified
500528,765,68.8,Medium,Eligible,35.7,Verified
500529,729,52.1,High,Not Eligible,35.1,Verified
500530,728,63.0,Medium,Eligible,54.1,Verified
500531,677,59.2,Medium,Eligible,34.9,Verified
500532,647,52.0,High,Not Eligible,18.7,Verified
500533,610,43.7,High,Not Eligible,58.2,Verified
500534,770,49.2,High,Not Eligible,36.7,Verified
500535,641,28.3,High,Not Eligible,21.4,Verified
